Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Predicted_Cost,Predicted_CO2,Cost_Score,CO2_Score,AI_Recommendation_Score
Kraft Paper,7388.44,13.9,80.92,25.72,77.27,0.44,0.7938776596818985,0.3838118410787182,0.6714534084878383,0.49778369283972673,27.895027,0.9973464622792542,0.79665154,0.8969990022329957
Kraft Paper,4653.27,13.83,86.48,25.51,83.3225396825397,0.5,0.8138908707517342,0.3277091645600146,0.6532803077138434,0.6212275751563251,26.768764,0.9681003729040973,0.8117854,0.8899428864089426
Kraft Paper,5587.57,3.78,79.67,27.33,80.25,0.44,0.7885914541782378,0.2908512886014239,0.6410249652149206,0.5739569222029381,28.041538,0.9792996459272116,0.79468286,0.8869912531508312
Bagasse Fiber,2603.16,8.03,95.18,18.15,93.23,0.91,0.908647334006564,0.2743976147847521,0.686751437939172,1.1116634176614544,18.648314,0.851907247627149,0.9209017,0.8864044816913058
Starch-Based Packaging,2980.8583333333336,2.21,90.01,15.84,84.19,1.04,0.9019388462509468,0.2581847847529614,0.6728960046989592,1.293001842949435,16.597446,0.8089448934497205,0.9484597,0.878702289149253
Starch-Based Packaging,2980.8583333333336,6.67,98.77,16.22,84.91,1.21,0.9007411083059832,0.2800737917101381,0.6904362673736626,1.2983382347039774,16.52059,0.807680605683771,0.94949245,0.8785865301062898
Bagasse Fiber,2355.01,24.5,94.3,15.4,87.86,1.78,0.9168367533451148,0.3606097906687008,0.6808344001498778,1.2560068881354747,17.501963,0.8177096676500658,0.9363055,0.8770075952843834
Bagasse Fiber,3693.59,14.38,91.72,15.6,84.95,1.14,0.9063395228477658,0.3358009670296207,0.6897466046419718,1.1789022132316083,19.12431,0.8359771603047235,0.91450566,0.8752414104193142
Kraft Paper,6982.78,15.7,79.82,26.24,79.76,0.7,0.7967528603887907,0.3833741776234444,0.666002154776371,0.684860715264453,27.974821,0.9530245306031301,0.7955793,0.8743019224175013
Bagasse Fiber,3039.47,5.91,96.55,15.47,93.49,1.72,0.9331082226710428,0.2792797050117042,0.7068959908741039,1.3035668940365581,17.097733,0.8064418416779475,0.94173723,0.8740895381351926
Bagasse Fiber,4889.79,3.98,90.63,18.46,91.76,1.09,0.9014981267356728,0.2999128708244579,0.7088118490739604,1.1684225865031557,19.717863,0.8384599735002171,0.90652996,0.8724949682583636
Molded Pulp,2496.56,8.72,87.08,22.6,96.34,0.67,0.8786564554405452,0.2645046925297873,0.658256877025321,1.0025003772371996,23.13163,0.8777699471534287,0.8606584,0.8692141771823663
Kraft Paper,5339.21,16.94,79.01,31.05,78.12,0.5,0.7493309669275435,0.3437679176413807,0.6175237829663309,0.5129046112221115,31.898401,0.9937640431091289,0.74285734,0.8683106900535573
Bagasse Fiber,3338.92,20.32,95.7,18.65,82.51,1.15,0.8720692577631911,0.3512341281619017,0.6758124384279123,1.1942631338938434,19.971228,0.8323378802517822,0.90312546,0.8677316725840057
Molded Pulp,1768.98,7.78,89.26,21.65,94.53,0.77,0.8816208003029538,0.2471180455708619,0.6513721616002071,1.0223977224933263,23.134617,0.8730559060298956,0.86061823,0.8668370698553103
Kraft Paper,4662.71,5.17,85.95,27.0,85.65,0.85,0.8077073844988639,0.2797769556162173,0.651377212672406,0.798944304351966,27.447338,0.9259960640636955,0.80266726,0.8643316621168392
Kraft Paper,6262.22,16.4,88.59,27.97,83.19,0.57,0.7917563165867204,0.3677676334844414,0.6727513247809759,0.6137862212106906,30.75011,0.9698633643013383,0.75828713,0.8640752480438424
Bagasse Fiber,2136.27,6.59,99.1,33.3,91.98,1.69,0.7710296238323655,0.2191667081966299,0.6275237404857017,1.1386318821124073,21.564213,0.845517930418051,0.8817201,0.8636190280466263
Kraft Paper,4876.69,13.45934426229508,93.5,26.08,79.42,0.89,0.7971466447866701,0.3289679955334178,0.6608196780115119,0.8187673037460903,27.274374,0.9212996368201214,0.8049914,0.8631455304519156
Molded Pulp,2525.87,4.6,89.87,22.84,97.75,0.78,0.8807657788437263,0.2433952606186226,0.6662064351846513,1.02531621352584,23.645144,0.8723644626956801,0.8537582,0.863061339299958
Kraft Paper,4170.64,24.51,88.34,25.72,82.54,0.97,0.8096876596818985,0.3719623302894651,0.6471967362245313,0.8437513338050832,26.976862,0.9153804680258111,0.80898917,0.8621848176196255
Kraft Paper,7112.55,23.12,89.14,28.11,88.85,0.46,0.807499255238576,0.4193353710433155,0.6977635825768473,0.5965858067834993,31.427164,0.9739384537119031,0.74918944,0.8615639450738013
Bagasse Fiber,4470.09,12.36,99.23,17.29,84.51,1.61,0.8900864251451653,0.3371619597752047,0.7094852103794765,1.2857285603797586,19.367212,0.810668065696831,0.9112417,0.8609548879414178
Bagasse Fiber,3685.44,14.68016393442623,90.92,20.75,87.18,1.19,0.867523337541025,0.3241692442357184,0.6729764313801114,1.1920963449204525,21.193686,0.8328512317665245,0.886699,0.8597751263145519
