Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD
Molded Pulp,1746.19,5.18,89.54,31.97,87.23,0.79
Aluminum Packaging,11878.75,22.12,0.19,66.19,98.92,2.69
Kraft Paper,5699.76,6.78,91.07,30.28,87.56,0.67
Kraft Paper,4649.23,9.66,,47.86,87.75,0.76
Starch-Based Packaging,2103.02,2.07,,25.62,69.94,1.77
PLA Bioplastic,8053.78,1.19,68.96,53.47,58.57,3.41
Plywood (Lightweight),14392.26,78.08,54.43,54.87,50.18,2.03
Bamboo Fiber,6288.65,28.32,85.29,22.44,85.77,1.63
Plywood (Lightweight),10909.85,77.26,60.88,41.17,56.53,3.22
PHA Bioplastic,7177.07,2.14,81.0,43.87,48.98,2.5
Corrugated Cardboard,4735.78,10.94,78.35,45.53,89.46,0.96
Corrugated Cardboard,3829.94,30.15,83.58,50.68,85.05,1.0
Plywood (Lightweight),10922.87,,,44.85,55.61,2.73
PLA Bioplastic,9363.66,5.98,69.5,59.13,63.65,2.17
Plywood (Lightweight),10938.64,53.78,70.77,46.96,69.78,2.14
Starch-Based Packaging,3854.69,7.51,96.51,28.36,77.28,1.81
Corrugated Cardboard,4611.23,31.08,81.02,,90.89,1.19
Bamboo Fiber,6398.67,11.77,98.79,28.5,86.04,1.0
Recycled Paperboard,5544.46,27.47,72.72,25.39,82.52,1.1
Starch-Based Packaging,2715.77,7.04,92.64,15.78,71.61,1.8
Bagasse Fiber,2170.9,,99.89,24.23,89.43,0.73
PHA Bioplastic,5715.73,7.41,96.36,51.38,50.54,2.97
Corrugated Cardboard,4241.97,31.31,84.74,42.97,92.96,0.56
Bagasse Fiber,3951.68,13.21,91.85,19.93,85.85,1.6
Mushroom Mycelium,1696.75,12.11,99.16,29.2,78.31,1.58
Bagasse Fiber,3168.73,9.17,95.1,,94.94,1.73
Cotton Fiber,5210.31,8.82,90.74,33.05,67.68,2.75
Mushroom Mycelium,2390.79,13.68,98.4,15.36,82.49,2.36
Recycled Paperboard,,13.86,75.69,37.31,94.96,
Mushroom Mycelium,3256.0,12.8,95.71,26.82,60.65,2.4
Molded Pulp,2690.74,4.82,93.77,30.48,87.37,1.13
Cotton Fiber,4493.33,,88.35,48.02,71.56,1.99
Corrugated Cardboard,4195.03,33.64,80.21,48.01,,0.95
Bagasse Fiber,2136.27,6.59,99.1,33.3,91.98,1.69
Bamboo Fiber,3096.76,5.26,90.37,22.91,80.25,1.97
Mushroom Mycelium,1906.22,13.43,95.9,20.85,76.42,2.77
Aluminum Packaging,18966.41,22.28,1.11,87.08,88.52,3.04
Bamboo Fiber,3991.16,7.8,86.4,27.07,76.38,1.7
Recycled PET (rPET),9722.94,26.03,8.24,65.32,85.94,1.86
Corrugated Cardboard,4623.48,37.19,74.07,40.62,88.11,0.62
Mushroom Mycelium,2682.56,8.24,95.84,19.47,77.01,2.06
Recycled Paperboard,6099.17,24.94,85.93,38.31,87.14,1.18
Starch-Based Packaging,3728.27,1.54,91.43,31.05,69.37,2.32
Aluminum Packaging,14279.41,44.38,3.91,64.9,91.6,3.51
Molded Pulp,3461.35,5.81,89.33,27.16,97.13,1.18
Bagasse Fiber,2543.59,16.98,96.08,21.5,91.7,1.42
Hemp Fiber,7886.09,28.59,89.42,25.54,72.62,1.8
Starch-Based Packaging,1997.07,9.22,97.45,32.46,73.97,2.35
PHA Bioplastic,6229.84,2.41,82.26,55.69,46.41,2.12
Recycled PET (rPET),9692.23,21.07,9.0,59.58,87.95,1.43
Bagasse Fiber,4485.32,13.4,98.15,29.34,87.01,1.54
PHA Bioplastic,7589.96,5.13,,58.5,54.86,3.04
Plywood (Lightweight),13510.7,55.82,69.26,44.32,73.26,3.29
Plywood (Lightweight),14799.66,77.6,61.45,59.75,63.92,2.5
Kraft Paper,6303.07,5.51,77.61,28.58,88.45,
Bagasse Fiber,3358.51,6.99,97.64,26.18,92.34,1.35
Recycled PET (rPET),7106.55,19.72,7.28,72.64,87.46,1.54
Kraft Paper,5230.14,19.81,91.32,29.44,87.99,0.68
Bamboo Fiber,6220.65,14.86,94.72,36.51,88.46,1.07
Kraft Paper,6821.08,19.56,82.52,44.85,88.34,0.89
Recycled Paperboard,4921.07,22.33,80.96,33.0,86.62,0.64
Recycled Paperboard,4220.54,4.79,77.03,40.04,86.72,1.2
Molded Pulp,1540.31,10.43,88.8,22.11,90.09,1.19
Recycled PET (rPET),9810.19,25.03,19.29,,85.69,1.79
Molded Pulp,3234.93,6.59,89.23,33.76,91.23,1.17
Cotton Fiber,4367.05,16.8,80.76,49.19,,1.57
Molded Pulp,3294.23,6.22,98.44,24.18,87.68,0.74
Mushroom Mycelium,,14.94,96.07,10.63,73.6,2.35
PHA Bioplastic,5366.97,1.83,,62.27,53.85,
Bagasse Fiber,4087.22,6.53,98.09,21.67,81.95,1.79
Recycled Paperboard,6553.85,16.81,70.07,25.38,90.13,0.85
Bamboo Fiber,6967.8,3.52,86.75,26.01,76.53,0.85
Corrugated Cardboard,5009.29,20.78,88.24,36.51,85.73,0.61
PHA Bioplastic,5692.41,11.69,86.37,63.22,49.2,2.16
PLA Bioplastic,8559.51,14.47,80.98,68.27,74.77,2.4
Bagasse Fiber,4227.52,10.31,93.32,28.66,90.16,0.84
Corrugated Cardboard,5945.82,15.06,74.15,40.21,93.01,1.08
Corrugated Cardboard,4194.22,15.07,71.4,42.57,84.01,1.13
PLA Bioplastic,6336.44,7.19,80.1,59.86,57.06,2.27
Molded Pulp,2259.91,17.49,96.77,21.07,89.25,1.03
PHA Bioplastic,7652.93,1.57,80.99,43.3,70.0,3.68
Corrugated Cardboard,3579.66,13.5,81.23,45.53,83.79,0.65
Recycled PET (rPET),9417.69,5.35,7.62,67.37,81.0,1.97
Bagasse Fiber,3969.86,12.72,94.62,,88.11,0.96
Corrugated Cardboard,4836.82,27.23,84.42,43.24,94.55,1.14
