Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
Molded Pulp,1746.19,5.18,89.54,31.97,87.23,0.79,0.7685317066397375,0.20727545812366754,0.597900071720829
Aluminum Packaging,11878.75,22.12,0.19,66.19,98.92,2.69,0.5012285685432971,0.41613636381156605,0.46914763047989816
Kraft Paper,5699.76,6.78,91.07,30.28,87.56,0.67,0.7844548043423378,0.3010807588093165,0.6690298254658366
Kraft Paper,4649.23,9.66,85.97050847457626,47.86,87.75,0.76,0.6296852436253471,0.24983819425886097,0.576415065270871
Starch-Based Packaging,2103.02,2.07,94.80654545454549,25.62,69.94,1.77,0.7727712749305731,0.21471591781102678,0.6034178682608644
PLA Bioplastic,8053.78,1.19,68.96,53.47,58.57,3.41,0.4925744281747033,0.2623299823136557,0.5152866525188088
Plywood (Lightweight),14392.26,78.08,54.43,54.87,50.18,2.03,0.45503381469325926,0.7831090706994801,0.5619203554673892
Bamboo Fiber,6288.65,28.32,85.29,22.44,85.77,1.63,0.8483602398384247,0.44333810723234734,0.692653572466036
Plywood (Lightweight),10909.85,77.26,60.88,41.17,56.53,3.22,0.5951391037616763,0.7418472889694243,0.5856792586362239
PHA Bioplastic,7177.07,2.14,81.0,43.87,48.98,2.5,0.5486314920474628,0.27339538507305305,0.5430393472709603
Corrugated Cardboard,4735.78,10.94,78.35,45.53,89.46,0.96,0.6554034789194647,0.26405863089451465,0.574736324136873
Corrugated Cardboard,3829.94,30.15,83.58,50.68,85.05,1.0,0.596667293612724,0.33083171473804523,0.5429074163327594
Plywood (Lightweight),10922.87,44.488653846153845,60.35510204081632,44.85,55.61,2.73,0.5598620626104519,0.5649385886762243,0.5690533400417004
PLA Bioplastic,9363.66,5.98,69.5,59.13,63.65,2.17,0.45780180509972224,0.299529474781497,0.5253062696993321
Plywood (Lightweight),10938.64,53.78,70.77,46.96,69.78,2.14,0.5837277808634183,0.607535217318535,0.610499010171584
Starch-Based Packaging,3854.69,7.51,96.51,28.36,77.28,1.81,0.7705802171168896,0.2717067291014716,0.6381619143850265
Corrugated Cardboard,4611.23,31.08,81.02,43.366666666666674,90.89,1.19,0.6788090221324581,0.37013391370215365,0.589212682411326
Bamboo Fiber,6398.67,11.77,98.79,28.5,86.04,1.0,0.7956231557687452,0.34551769002184884,0.6989722441555306
Recycled Paperboard,5544.46,27.47,72.72,25.39,82.52,1.1,0.8125435900025246,0.41622478805083046,0.6383310690954197
Starch-Based Packaging,2715.77,7.04,92.64,15.78,71.61,1.8,0.8647290154001513,0.27762610421276357,0.649138504995987
Bagasse Fiber,2170.9,14.68016393442623,99.89,24.23,89.43,0.73,0.8435235268871497,0.2842229665726653,0.6588872337240099
PHA Bioplastic,5715.73,7.41,96.36,51.38,50.54,2.97,0.4869519868720019,0.251367413157496,0.5259238404655017
Corrugated Cardboard,4241.97,31.31,84.74,42.97,92.96,0.56,0.6885240292855339,0.36471635280546955,0.5966050686961063
